State,NO2 Mean,NO2 AQI,SO2 Mean,SO2 AQI,CO Mean,CO AQI
Alabama,9.410692532,21.23224568,1.03423645,7.00511509,0.212606714,3.850287908
Alaska,11.31315164,19.55319149,6.083754909,14.48733536,0.42343776,6.528340081
Arizona,19.06797518,36.1069874,1.364212913,4.213486042,0.490615955,9.191022815
Arkansas,9.753701495,21.48647119,1.38330213,2.975772671,0.422392689,5.929913949
California,13.65189363,24.11023845,1.146695267,3.59827847,0.447484572,7.405668958
Colorado,19.6342745,35.95887803,1.507634161,10.60552335,0.44311231,7.724204545
Connecticut,8.990964941,18.45735476,0.912120762,3.221925312,0.250866011,3.586407378
Country Of Mexico,20.33183038,37.98905954,1.945775029,6.565839293,0.853502704,17.70052466
Delaware,11.58477299,21.54104683,1.014241688,2.819834711,0.26159997,3.839383938
District Of Columbia,17.68936647,30.60289539,4.20966961,12.88795584,0.790169982,11.60510546
Florida,7.363386281,16.38444324,0.495489915,2.876996682,0.425254995,5.921592838
Georgia,11.22673552,24.14322714,0.484833252,1.793835794,0.321500798,5.273056995
Hawaii,3.164696747,8.65989347,0.985950452,2.284645669,0.367477348,4.483132768
Idaho,8.928189525,23.34135667,0.326411088,0.823144105,0.178147865,2.876367615
Illinois,15.56819382,28.38151489,2.683061367,13.13531524,0.392759335,6.258436378
Indiana,12.11947686,24.05773374,3.098320103,14.66269385,0.357091101,5.395489154
Iowa,6.787498031,14.29121857,0.407452614,1.396086318,0.217114973,3.043098112
Kansas,11.08918006,21.57992376,2.368247947,9.393063584,0.408663709,6.541775208
Kentucky,11.98944265,25.14762359,3.755987464,18.55187909,0.164494515,3.178207047
Louisiana,13.75787504,26.74122476,2.345395217,11.31646842,0.412347336,6.311803636
Maine,5.136785031,11.28548449,0.936111538,2.987812103,0.225924827,3.087475654
Maryland,9.975961558,19.77840088,1.661964685,7.063285763,0.281358858,4.370253971
Massachusetts,18.6466185,29.77832375,2.561435292,8.007971821,0.318437557,5.539959206
Michigan,16.81026037,31.83989245,3.110225327,17.97091176,0.348477832,6.469956033
Minnesota,6.819423562,15.86677909,0.678987889,1.152954169,0.244839872,3.447803765
Missouri,14.96103351,29.17069471,3.447383473,18.31951466,0.467052334,7.413726878
Nevada,12.04449442,23.94679315,0.341422388,1.110125799,0.221208043,3.658687577
New Hampshire,7.397307826,14.66107166,1.416289092,7.642995481,0.344256284,5.073181231
New Jersey,18.59588829,31.67305103,3.115056999,11.12799222,0.402449968,6.437336326
New Mexico,12.34454417,24.47910238,0.612773148,1.179121187,0.210986224,3.482323232
New York,18.48822275,30.58033396,4.661484375,14.0615904,0.356875528,5.657804387
North Carolina,10.55309364,22.40252114,1.462896103,8.605721058,0.354825682,5.628312864
North Dakota,4.793945497,12.42730078,0.220503658,0.412416046,0.168464333,2.053357532
Ohio,12.11381678,22.33696695,2.746948603,15.37108728,0.270534055,4.009942439
Oklahoma,6.763139345,14.90261476,0.721274345,3.738290092,0.140371924,2.488292371
Oregon,9.65059893,17.24673563,0.978802787,2.035266192,0.305456195,5.323723927
Pennsylvania,12.41672875,23.81408424,4.04160204,15.80193359,0.241591895,3.98675672
Rhode Island,7.146602422,14.37223276,0.517516265,1.668247944,0.224067992,3.162025316
South Carolina,1.939409509,4.936352509,0.825491167,4.758873929,0.124603735,1.604651163
South Dakota,5.073974402,11.06397306,0.475987952,0.669312169,0.181980036,2.385948027
Tennessee,1.696771142,3.551523451,0.821554521,2.32865457,0.438305612,4.87868403
Texas,11.59239422,23.56554769,0.987712482,4.674644254,0.247957383,4.450379944
Utah,13.1844459,23.48684818,0.402022426,1.151822796,0.354010936,5.41347485
Virginia,10.53304058,20.26385152,2.981669692,9.853055845,0.373084565,5.359833095
Washington,10.20509774,21.69438669,0.769702499,1.946058091,0.204776874,2.719334719
Wisconsin,14.96873166,26.16622691,2.6148799,8.279683377,0.35042697,5.248021108
Wyoming,3.292933003,9.796137339,0.340511589,1.818056407,0.108020394,1.486047225
